label,char_count,word_count,avg_word_length,sentence_count,avg_sentence_length,unique_word_count,stop_word_count,unique_word_ratio,punc_count,punc_ratio,question_count,exclamation_count,digit_count,capital_count,repeat_word_count,unique_bigram_count,unique_trigram_count,unique_fourgram_count
human,1888,319,5.037617554858934,11,170.27272727272728,163,100,0.5109717868338558,44,0.023305084745762712,0,0,4,35,37,253,262,267
ai,520,100,4.35,8,64.0,52,35,0.52,15,0.028846153846153848,0,0,12,13,16,74,75,75
human,904,173,4.329479768786127,8,112.0,76,65,0.4393063583815029,20,0.022123893805309734,0,0,20,47,29,122,132,133
ai,386,66,4.924242424242424,3,127.66666666666667,39,26,0.5909090909090909,6,0.015544041450777202,0,0,4,17,10,56,57,56
human,1552,325,4.036923076923077,10,154.3,152,105,0.4676923076923077,65,0.04188144329896907,0,0,12,83,38,231,246,248
human,1173,218,4.536697247706422,10,116.4,114,77,0.5229357798165137,36,0.030690537084398978,0,0,4,25,27,172,179,178
human,962,189,4.26984126984127,4,239.75,90,50,0.47619047619047616,32,0.033264033264033266,0,0,51,62,22,134,137,138
ai,806,169,3.9881656804733727,8,99.375,82,60,0.48520710059171596,30,0.03722084367245657,0,0,17,37,22,123,129,130
human,1362,287,4.013937282229965,11,122.9090909090909,126,95,0.43902439024390244,58,0.042584434654919234,0,0,16,61,33,197,216,220
ai,779,140,4.7214285714285715,8,96.25,69,45,0.4928571428571429,26,0.03337612323491656,0,0,24,38,19,102,105,105
ai,895,190,3.9105263157894736,9,98.33333333333333,99,57,0.5210526315789473,32,0.035754189944134075,0,0,27,35,22,139,146,146
ai,1391,260,4.484615384615385,14,98.14285714285714,70,96,0.2692307692307692,45,0.03235082674335011,0,0,16,30,61,111,117,122
human,1440,277,4.371841155234657,10,143.1,140,82,0.5054151624548736,49,0.034027777777777775,0,0,18,66,37,216,219,219
ai,1300,244,4.426229508196721,9,143.33333333333334,103,90,0.42213114754098363,29,0.022307692307692306,0,0,0,43,38,163,182,190
human,982,193,4.1450777202072535,9,108.0,92,79,0.47668393782383417,18,0.018329938900203666,0,0,21,26,32,144,161,164
human,825,173,3.9190751445086707,8,101.875,86,53,0.49710982658959535,25,0.030303030303030304,0,0,32,47,25,124,131,131
ai,644,140,3.9285714285714284,8,79.125,58,39,0.4142857142857143,39,0.06055900621118013,0,0,36,34,15,84,87,88
ai,358,61,4.934426229508197,2,178.0,38,25,0.6229508196721312,4,0.0111731843575419,0,0,4,4,13,54,54,53
ai,842,148,4.777027027027027,7,119.14285714285714,55,53,0.3716216216216216,20,0.023752969121140142,0,0,26,27,36,88,99,106
ai,823,165,4.1878787878787875,9,90.44444444444444,80,48,0.48484848484848486,29,0.03523693803159174,0,0,31,37,17,119,122,122
ai,1243,243,4.189300411522634,12,102.41666666666667,95,84,0.39094650205761317,20,0.016090104585679808,0,0,93,64,39,158,177,181
ai,953,179,4.446927374301676,9,104.77777777777777,85,56,0.4748603351955307,26,0.02728226652675761,0,0,33,52,29,118,122,123
human,854,167,4.227544910179641,6,141.5,87,54,0.5209580838323353,20,0.0234192037470726,0,0,41,50,22,128,132,132
ai,628,123,4.235772357723577,7,88.71428571428571,56,44,0.45528455284552843,23,0.03662420382165605,0,0,32,35,18,85,93,92
ai,1289,289,3.7681660899653977,23,54.95652173913044,111,84,0.38408304498269896,70,0.05430566330488751,0,0,44,93,28,179,191,195
ai,464,75,5.293333333333333,4,115.0,41,28,0.5466666666666666,10,0.021551724137931036,0,0,0,6,14,53,54,55
ai,355,66,4.484848484848484,4,87.75,28,26,0.42424242424242425,9,0.02535211267605634,0,0,0,4,18,37,41,42
human,1019,168,5.178571428571429,9,112.33333333333333,95,59,0.5654761904761905,19,0.018645731108930325,0,0,0,43,22,134,145,146
human,1190,213,4.769953051643192,2,594.5,89,20,0.41784037558685444,70,0.058823529411764705,0,0,76,110,17,123,134,133
human,1043,197,4.395939086294416,7,148.14285714285714,109,76,0.5532994923857868,25,0.023969319271332695,0,0,15,37,30,158,166,165
ai,1185,256,3.953125,9,130.55555555555554,95,63,0.37109375,64,0.0540084388185654,0,0,34,81,34,148,160,167
human,821,165,4.072727272727272,8,101.75,83,75,0.503030303030303,17,0.020706455542021926,0,0,16,19,22,131,140,140
ai,1130,188,5.085106382978723,9,124.33333333333333,94,72,0.5,16,0.01415929203539823,0,0,0,13,27,141,151,156
human,1202,229,4.353711790393013,11,108.27272727272727,115,78,0.5021834061135371,29,0.024126455906821963,0,0,38,46,27,173,181,182
human,1597,310,4.2935483870967746,10,158.8,130,95,0.41935483870967744,47,0.029430181590482152,0,0,62,88,37,203,220,229
human,1543,285,4.536842105263158,8,192.0,115,112,0.40350877192982454,35,0.02268308489954634,0,0,0,14,41,223,243,246
human,1440,249,4.967871485943775,7,204.85714285714286,99,46,0.39759036144578314,49,0.034027777777777775,0,0,67,107,33,143,164,170
human,1258,212,5.009433962264151,8,156.375,113,56,0.5330188679245284,19,0.015103338632750398,0,0,41,72,20,158,169,174
human,912,183,4.120218579234972,9,100.33333333333333,93,68,0.5081967213114754,28,0.03070175438596491,0,0,7,24,19,146,148,147
human,989,190,4.373684210526315,7,140.42857142857142,99,60,0.5210526315789473,36,0.03640040444893832,0,0,35,43,26,141,144,143
human,1112,219,4.287671232876712,10,110.3,107,75,0.4885844748858447,42,0.03776978417266187,0,0,18,48,23,161,168,167
human,934,184,4.25,11,84.0,92,57,0.5,33,0.035331905781584586,0,0,30,47,21,136,140,139
human,915,174,4.373563218390805,8,113.5,89,58,0.5114942528735632,21,0.022950819672131147,0,0,38,33,24,133,138,138
human,1102,194,4.788659793814433,10,109.3,115,78,0.5927835051546392,20,0.018148820326678767,0,0,0,12,23,168,171,171
human,1154,209,4.588516746411483,9,126.88888888888889,104,62,0.49760765550239233,20,0.01733102253032929,0,0,32,80,31,163,174,174
human,1096,214,4.228971962616822,8,136.125,100,85,0.4672897196261682,25,0.02281021897810219,0,0,57,75,22,158,169,169
human,923,184,4.146739130434782,8,114.5,78,66,0.42391304347826086,27,0.02925243770314193,0,0,44,73,24,129,140,141
human,949,183,4.3497267759562845,9,104.44444444444444,85,49,0.4644808743169399,36,0.037934668071654375,0,0,40,50,22,127,132,131
ai,176,36,4.027777777777778,3,58.0,25,12,0.6944444444444444,5,0.028409090909090908,0,0,14,11,2,26,25,24
human,981,192,4.239583333333333,8,121.75,77,58,0.4010416666666667,25,0.0254841997961264,0,0,41,69,29,125,141,148
human,1110,208,4.456730769230769,6,184.16666666666666,90,84,0.4326923076923077,31,0.027927927927927927,0,0,11,8,36,154,169,172
human,1079,213,4.169014084507042,9,119.0,109,81,0.5117370892018779,21,0.019462465245597776,0,0,32,63,29,172,179,178
human,1119,193,4.937823834196891,5,223.0,98,54,0.5077720207253886,28,0.025022341376228777,0,0,10,44,28,151,159,158
human,1012,192,4.395833333333333,7,143.71428571428572,91,66,0.4739583333333333,27,0.0266798418972332,0,0,11,46,30,148,157,159
human,948,195,4.041025641025641,7,134.57142857142858,102,65,0.5230769230769231,34,0.035864978902953586,0,0,26,31,22,146,149,148
ai,867,165,4.393939393939394,9,95.11111111111111,56,63,0.3393939393939394,22,0.025374855824682813,0,0,44,37,24,90,99,103
human,1001,196,4.255102040816326,9,110.33333333333333,85,59,0.4336734693877551,33,0.03296703296703297,0,0,51,55,29,134,143,145
human,988,179,4.664804469273743,8,122.625,96,50,0.5363128491620112,28,0.02834008097165992,0,0,20,40,26,143,145,144
human,1031,187,4.588235294117647,7,146.42857142857142,99,75,0.5294117647058824,14,0.013579049466537343,0,0,21,37,30,155,163,164
ai,1550,270,4.855555555555555,15,102.06666666666666,119,81,0.44074074074074077,41,0.026451612903225806,0,0,20,53,33,193,211,216
ai,257,49,4.408163265306122,3,85.0,28,21,0.5714285714285714,12,0.04669260700389105,0,0,8,8,7,34,34,34
ai,1027,206,4.097087378640777,8,126.875,92,74,0.44660194174757284,27,0.02629016553067186,0,0,36,54,31,152,162,164
ai,1116,210,4.442857142857143,11,100.27272727272727,107,65,0.5095238095238095,30,0.026881720430107527,0,0,40,53,19,162,167,166
ai,1275,241,4.423236514522822,13,96.92307692307692,116,89,0.48132780082987553,35,0.027450980392156862,0,0,4,29,33,178,190,193
ai,891,166,4.475903614457831,8,110.25,71,57,0.42771084337349397,19,0.02132435465768799,0,0,16,31,27,120,134,137
human,1011,187,4.518716577540107,9,111.33333333333333,105,63,0.5614973262032086,22,0.021760633036597428,0,0,12,31,20,153,159,159
human,1171,215,4.576744186046511,8,145.5,129,67,0.6,29,0.024765157984628524,0,0,4,53,25,176,182,182
human,1310,235,4.659574468085107,9,144.44444444444446,129,78,0.548936170212766,22,0.016793893129770993,0,0,12,44,30,200,208,207
human,1026,185,4.681081081081081,7,145.71428571428572,108,68,0.5837837837837838,28,0.02729044834307992,0,0,8,35,16,149,150,149
ai,627,124,4.17741935483871,6,103.5,59,42,0.47580645161290325,17,0.02711323763955343,0,0,42,22,21,85,90,91
ai,807,150,4.473333333333334,7,114.14285714285714,70,66,0.4666666666666667,16,0.01982651796778191,0,0,0,16,24,117,125,127
human,1662,289,4.840830449826989,10,165.3,147,114,0.5086505190311419,29,0.017448856799037304,0,0,6,49,38,231,246,249
human,1342,259,4.359073359073359,13,102.3076923076923,135,71,0.5212355212355212,48,0.03576751117734724,0,0,14,80,29,199,204,204
human,1517,269,4.739776951672862,13,115.53846153846153,145,92,0.5390334572490706,31,0.02043506921555702,0,0,39,55,30,216,222,221
ai,381,85,3.6705882352941175,4,93.5,37,26,0.43529411764705883,21,0.05511811023622047,0,0,28,24,11,50,52,52
human,1050,204,4.245098039215686,8,130.0,102,73,0.5,23,0.021904761904761906,0,0,0,9,34,168,177,178
ai,861,162,4.401234567901234,8,106.5,95,68,0.5864197530864198,17,0.019744483159117306,0,0,10,19,19,138,142,141
human,1080,205,4.404878048780488,8,134.125,83,82,0.40487804878048783,34,0.03148148148148148,0,0,35,15,34,142,157,159
human,1365,271,4.154981549815498,15,90.06666666666666,114,109,0.42066420664206644,34,0.02490842490842491,0,0,27,41,29,195,225,225
human,1561,323,4.077399380804954,11,141.0,125,111,0.38699690402476783,60,0.03843689942344651,0,0,0,74,41,222,248,258
human,967,187,4.278074866310161,7,137.28571428571428,91,78,0.48663101604278075,29,0.02998965873836608,0,0,15,37,17,142,152,153
human,930,179,4.324022346368715,9,102.44444444444444,93,66,0.5195530726256983,25,0.026881720430107527,0,0,20,34,21,139,144,144
human,926,177,4.361581920903955,5,184.4,103,57,0.5819209039548022,23,0.024838012958963283,0,0,14,67,22,142,147,147
human,1043,179,4.932960893854749,7,148.14285714285714,81,64,0.45251396648044695,21,0.020134228187919462,0,0,21,56,26,141,150,149
ai,1143,228,4.131578947368421,12,94.16666666666667,94,77,0.41228070175438597,29,0.02537182852143482,0,0,34,79,28,165,180,183
ai,1307,270,4.044444444444444,10,129.5,123,91,0.45555555555555555,45,0.03442999234889059,0,0,47,84,35,183,199,203
